Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0031381,2013-01-05,2013-01-05,,"Gone with the Wind","Gone with the Wind",https://www.imdb.com/title/tt0031381/,Movie,8.2,238,1939,"Drama, Romance, War",349928,1940-01-17,"Victor Fleming",7,2013-01-03
2,tt0075860,2013-01-05,2013-01-05,,"Close Encounters of the Third Kind","Close Encounters of the Third Kind",https://www.imdb.com/title/tt0075860/,Movie,7.6,138,1977,"Drama, Sci-Fi",227780,1977-12-14,"Steven Spielberg",9,2014-04-06
3,tt1594562,2013-01-06,2013-01-06,,"The Innkeepers","The Innkeepers",https://www.imdb.com/title/tt1594562/,Movie,5.5,101,2011,"Drama, Horror, Mystery",38703,2011-03-12,"Ti West",6,2013-01-05
4,tt0082817,2013-01-10,2013-01-10,,"Nighthawks","Nighthawks",https://www.imdb.com/title/tt0082817/,Movie,6.3,99,1981,"Action, Crime, Thriller",23007,1981-04-10,"Bruce Malmuth, Gary Nelson, Sylvester Stallone",6,2013-01-10
5,tt0344510,2013-01-13,2013-01-13,,"A Very Long Engagement","Un long dimanche de fiançailles",https://www.imdb.com/title/tt0344510/,Movie,7.6,133,2004,"Drama, Mystery, Romance, War",77237,2005-01-14,"Jean-Pierre Jeunet",7,2013-01-12
6,tt1286537,2013-01-13,2013-01-13,,"Food, Inc.","Food, Inc.",https://www.imdb.com/title/tt1286537/,Movie,7.8,94,2008,"Documentary, News",52936,2009-07-31,"Robert Kenner",6,2013-01-13
7,tt0096463,2013-01-16,2013-01-16,,"Working Girl","Working Girl",https://www.imdb.com/title/tt0096463/,Movie,6.8,113,1988,"Comedy, Drama, Romance",66235,1988-12-21,"Mike Nichols",8,2013-01-15
8,tt0087469,2013-01-18,2013-01-18,,"Indiana Jones and the Temple of Doom","Indiana Jones and the Temple of Doom",https://www.imdb.com/title/tt0087469/,Movie,7.5,118,1984,"Action, Adventure",557440,1984-05-23,"Steven Spielberg",7,2013-01-17
9,tt0079482,2013-01-21,2013-01-21,,"Long Weekend","Long Weekend",https://www.imdb.com/title/tt0079482/,Movie,6.5,97,1978,"Horror, Mystery, Thriller",6630,1979-03-29,"Colin Eggleston",7,2013-01-19
10,tt0034240,2013-01-30,2013-01-30,,"Sullivan's Travels","Sullivan's Travels",https://www.imdb.com/title/tt0034240/,Movie,7.9,90,1941,"Adventure, Comedy, Drama, Romance",30054,1942-02-06,"Preston Sturges",7,2013-01-23
11,tt0088011,2013-01-30,2013-01-30,,"Romancing the Stone","Romancing the Stone",https://www.imdb.com/title/tt0088011/,Movie,6.9,106,1984,"Action, Adventure, Comedy, Romance",109295,1984-03-30,"Robert Zemeckis",6,2013-01-25
